n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.4842084168336674,804046960280561.1,0.4376263046361732,0.0465821121974942,3.3242967501190627e-12,1.0801698584289629e-11,1.0259557751253462e-11,0.3240194977910151,0.9498096684696723,0.10644266970245515,0.8227151471041702,0.51409609163581,-71.16888756206187,4.4179133211345345,39.88553905465038
0.4852905811623247,805843936352705.5,0.4386014722469116,0.04668910891541313,3.3204854452406127e-12,1.0839776078441355e-11,1.035677972354538e-11,0.32060983567041906,0.9554422202635182,0.10644995940444403,0.822385656168852,0.5135398347491501,-71.31875762609539,4.340690041671721,39.7327650147446
0.48637274549098203,807640912424849.8,0.43957689326574295,0.04679585222523909,3.316696199575e-12,1.0878065851617781e-11,1.0455026058507657e-11,0.3172346181649233,0.9611107526944039,0.10645657891064125,0.8220567485862375,0.5129846558798664,-71.46856443940696,4.263792866116773,39.58007471439349
0.4874549098196393,809437888496994.0,0.4405525684462108,0.04690234137342845,3.3129288731854984e-12,1.0916569214089671e-11,1.0554307964512132e-11,0.3138935195301208,0.9668154671606918,0.10646253076868618,0.8217284242227286,0.512430551569806,-71.61830853671252,4.187219702187001,39.427467656153084
0.4885370741482966,811234864569138.2,0.4415284985385951,0.04700857560970149,3.3091833275140516e-12,1.0955287488346316e-11,1.065463676716672e-11,0.31058621704604855,0.9725565649007921,0.10646781751414479,0.8214006829406755,0.5118775183773671,-71.7679904509968,4.110968480213089,39.274943343488175
0.48961923847695393,813031840641282.5,0.44250468428992606,0.04711455418702786,3.305459425364984e-12,1.0994222009200198e-11,1.0756023910217235e-11,0.3073123909872589,0.9783342469541152,0.10647244167060325,0.8210735245984194,0.5113255528773947,-71.91761071352478,4.03503715284409,39.12250128077038
0.49070140280561125,814828816713426.9,0.44348112644399884,0.047220276361612384,3.301757030888942e-12,1.1033374123893105e-11,1.0858480956444791e-11,0.3040717245932327,0.9841487141209526,0.10647640574976122,0.8207469490503312,0.5107746516610774,-72.067169853852,3.9594236947573123,38.97014097327663
0.4917835671342686,816625792785571.1,0.44445782574138804,0.047325741392880524,3.2980760095670774e-12,1.1072745192203763e-11,1.0962019588557725e-11,0.30086390403914665,0.9900001669212076,0.10647971225152295,0.8204209561468524,0.5102248113358442,-72.21666839983563,3.8841261023728713,38.817861927187224
0.4928657314629259,818422768857715.5,0.4454347829194612,0.047430948543464704,3.294416228195445e-12,1.1112336586556918e-11,1.1066651610078651e-11,0.2976886184069575,0.9958888055520624,0.10648236366408922,0.820095545734534,0.5096760285252635,-72.36610687764473,3.809142393572703,38.665663649584346
0.4939478957915832,820219744929859.8,0.4464119987123928,0.04753589707919041,3.290777554869628e-12,1.1152149692133924e-11,1.1172388946225224e-11,0.2945455596568245,1.0018148298444716,0.10648436246404766,0.8197707176560761,0.509128299868942,-72.51548581177093,3.7344706074240896,38.51354564845025
0.49503006012024053,822016721002004.0,0.44738947385117767,0.047640586269062896,3.2871598589695764e-12,1.1192185906984888e-11,1.1279243644784712e-11,0.2914344225988496,1.007778439218517,0.10648571111646303,0.8194464717503647,0.5085816220224245,-72.66480572503839,3.660108803907594,38.361507432665675
0.49611222444889785,823813697074148.4,0.4483672090636444,0.04774501538525345,3.2835630111446835e-12,1.1232446642142304e-11,1.138722787698086e-11,0.2883549048651573,1.0137798326375167,0.10648641207496551,0.819122807852512,0.5080359916570949,-72.81406713861432,3.586055063649386,38.20954851200811
0.4971943887775552,825610673146292.6,0.4493452050744686,0.04784918370308655,3.279986883299039e-12,1.1272933321736266e-11,1.1496353938333997e-11,0.2853067068822658,1.0198192085609994,0.10648646778183969,0.8187997257938924,0.5074914054600775,-72.96327057201873,3.512307487657747,38.05766839715015
0.49827655310621244,827407649218436.9,0.4503234626051856,0.04795309050102688,3.276431348576923e-12,1.1313647383111258e-11,1.1606634249512343e-11,0.2822895318437887,1.0258967648963895,0.1064858806681122,0.8184772254021797,0.50694786013414,-73.11241654313437,3.4388641970636797,37.90586659965804
0.49935871743486976,829204625290581.2,0.4513019823742031,0.04805673506066664,3.2728962813484805e-12,1.135459027694449e-11,1.1718081357174858e-11,0.27930308568343576,1.032012698949467,0.10648465315363882,0.818155306501384,0.5064053523975955,-73.26150556821659,3.3657233328656773,37.75414263198982
0.5004408817635271,831001601362725.4,0.45228076509681414,0.04816011666671294,3.269381557195617e-12,1.1395763467365907e-11,1.1830707934804412e-11,0.27634707704832434,1.038167207373517,0.10648278764719056,0.8178339689118883,0.5058638789842084,-73.41053816190299,3.2928830556785194,37.602496007493855
0.5015230460921845,832798577434869.9,0.453259811485209,0.04826323460697544,3.265887052898082e-12,1.1437168432079698e-11,1.1944526783531023e-11,0.27342121727258795,1.044360486117198,0.1064802865465393,0.8175132124504843,0.5053234366430971,-73.55951483722296,3.2203415454860256,37.450926240407156
0.5026052104208417,834595553507014.0,0.4542391222484874,0.04836608817235433,3.2624126464197446e-12,1.1478806662487635e-11,1.2059550832944503e-11,0.2705252203512776,1.050592730371069,0.10647715223854298,0.8171930369304059,0.504784022138641,-73.70843610560695,3.148097001397616,37.29943284585403
0.503687374749499,836392529579158.1,0.4552186980926707,0.0484686766568283,3.2589582168950734e-12,1.1520679663813854e-11,1.2175793141895509e-11,0.267658802914561,1.056864134512771,0.1064733870992297,0.8168734421613675,0.5042456322503863,-73.85730247689594,3.0761476414086744,37.148015339844164
0.5047695390781564,838189505651302.6,0.4561985397207134,0.04857099935744296,3.2555236446157884e-12,1.156278895523144e-11,1.2293266899284738e-11,0.2648216842022038,1.063174892050832,0.10646899349388168,0.816554427949595,0.5037082637729525,-74.00611445935057,3.00449170216471,36.99667323927136
